epoch,train_loss,train_acc,validation_loss,validation_acc
1,0.6346202111820689,0.6433506044905009,0.5396370953983731,0.6875
2,0.5420803405048522,0.7132987910189983,0.4420156743791368,0.8055555555555556
3,0.48826505225763006,0.770293609671848,0.4186040096812778,0.8333333333333334
4,0.4496982497563634,0.7892918825561313,0.37943976124127704,0.8402777777777778
5,0.4177607828059551,0.8238341968911918,0.37122344970703125,0.8333333333333334
6,0.45791811775255287,0.7858376511226253,0.3670146134164598,0.8263888888888888
7,0.40177770151993153,0.8169257340241797,0.3232228391700321,0.8888888888888888
8,0.3714094354492807,0.8324697754749568,0.31799264748891193,0.875
9,0.39735314816185024,0.8169257340241797,0.3541560272375743,0.8194444444444444
10,0.3558540364569745,0.8497409326424871,0.29667341709136963,0.8680555555555556
11,0.3726611812703556,0.8316062176165803,0.28435942861768937,0.8888888888888888
12,0.3803141456811539,0.8264248704663213,0.2796604832013448,0.8819444444444444
13,0.37688207505383436,0.8151986183074266,0.2786279453171624,0.9027777777777778
14,0.35491120897632394,0.8290155440414507,0.29996562004089355,0.8402777777777778
15,0.368143892787487,0.8333333333333334,0.2764529254701402,0.9027777777777778
16,0.34672575447843484,0.8393782383419689,0.33089689744843376,0.8263888888888888
17,0.3604272963263622,0.8324697754749568,0.26579678224192727,0.8819444444444444
18,0.34823558794813864,0.844559585492228,0.27372364203135174,0.8888888888888888
19,0.34349840622080013,0.853195164075993,0.29671555591954124,0.8541666666666666
20,0.36502800349126824,0.8393782383419689,0.24031029807196724,0.8888888888888888
21,0.3574431536780326,0.8385146804835925,0.2378948132197062,0.8958333333333334
22,0.35811762375329237,0.8402417962003454,0.2695024410883586,0.8888888888888888
23,0.38078903287185906,0.8290155440414507,0.23324182795153725,0.8888888888888888
24,0.3755167520931554,0.8298791018998273,0.22734451625082228,0.9166666666666666
25,0.3361955132715031,0.8488773747841105,0.25381674700313145,0.8958333333333334
26,0.35319676166577246,0.8393782383419689,0.2355256179968516,0.9097222222222222
27,0.34754021555854453,0.8514680483592401,0.22984190781911215,0.9305555555555556
28,0.330533923101909,0.8514680483592401,0.31985189848475987,0.8402777777777778
29,0.32992726126894845,0.8609671848013817,0.22629432876904806,0.9236111111111112
30,0.33948987259148317,0.8488773747841105,0.2260383897357517,0.9097222222222222
31,0.3679291484990062,0.8238341968911918,0.2638729264338811,0.8611111111111112
32,0.3260508873636653,0.8506044905008635,0.2224578575955497,0.9027777777777778
33,0.33719215749253056,0.8523316062176166,0.2132153974639045,0.9236111111111112
34,0.3628643067852821,0.8376511226252159,0.21767628689606985,0.9166666666666666
35,0.36651898776414277,0.8341968911917098,0.21240405407216814,0.9375
36,0.3419796690113186,0.8497409326424871,0.2313015361626943,0.8958333333333334
37,0.33977701837946506,0.8411053540587219,0.2169711109664705,0.9097222222222222
38,0.33760329396407635,0.846286701208981,0.21443475120597416,0.9097222222222222
39,0.3893268136162832,0.8160621761658031,0.23620453808042738,0.8819444444444444
40,0.3684146358070184,0.8359240069084629,0.25377471413877273,0.8819444444444444
